관리번호,산단명,업체명,업체명_EN,업종,지역,매출액(백만원),종업원수,가동여부,등록일,비고
GJ-1001,구미국가산업단지,기계기업01,Alpha Tech 01,기계,구미,300,20,TRUE,2015-01-10,
GJ-1002,창원국가산업단지,전자기업02,Beta Works 02,전자,창원,527,,TRUE,2015-04-17,
GJ-1003,반월국가산업단지,화학기업03,Gamma Industry 03,화학,반월,424,46,TRUE,2015-07-23,
GJ-1004,시화국가산업단지,식품기업04,Delta Foods 04,식품,시화,681,59,TRUE,2015-10-28,"본 업체는 2010년 설립 이후 지속적인 설비 투자와 연구개발을 통해 지역 산업단지 내에서 안정적인 성장세를 유지하고 있으며, 주요 거래처와의 장기 계약을 바탕으로 향후 5년간 연평균 5% 이상의 성장이 기대됩니다."
GJ-1005,울산국가산업단지,섬유기업05,Epsilon Chem 05,섬유,울산,228,72,TRUE,2016-02-02,
GJ-1006,구미국가산업단지,기계기업06,Zeta Motors 06,기계,구미,1035,85,FALSE,2016-05-09,
GJ-1007,창원국가산업단지,전자기업07,Eta Textile 07,전자,창원,522,98,TRUE,2016-08-14,
GJ-1008,반월국가산업단지,화학기업08,Theta Electric 08,화학,반월,899,111,TRUE,2016-11-19,협력사: O'Brien & Co. <해외> / 계약율 95% #1
GJ-1009,시화국가산업단지,식품기업09,Iota Machine 09,식품,시화,826,124,TRUE,2017-02-24,
GJ-1010,울산국가산업단지,섬유기업10,Kappa Bio 10,섬유,울산,453,137,TRUE,2017-06-01,
GJ-1011,구미국가산업단지,기계기업11,Alpha Tech 11,기계,구미,370,150,TRUE,2017-09-06,
GJ-1012,창원국가산업단지,전자기업12,Beta Works 12,전자,창원,597,163,FALSE,2017-12-12,
GJ-1013,반월국가산업단지,화학기업13,Gamma Industry 13,화학,반월,494,176,TRUE,2018-03-19,"Global partner: ""Nova Systems"" (USA)"
GJ-1014,시화국가산업단지,식품기업14,Delta Foods 14,식품,시화,751,189,TRUE,2018-06-24,
GJ-1015,울산국가산업단지,섬유기업15,Epsilon Chem 15,섬유,울산,298,22,TRUE,2018-09-29,
GJ-1016,구미국가산업단지,기계기업16,Zeta Motors 16,기계,구미,1105,35,TRUE,2019-01-04,
GJ-1017,창원국가산업단지,전자기업17,Eta Textile 17,전자,창원,592,48,TRUE,2019-04-11,
GJ-1018,반월국가산업단지,화학기업18,Theta Electric 18,화학,반월,969,61,FALSE,2019-07-17,
GJ-1019,시화국가산업단지,식품기업19,Iota Machine 19,식품,시화,896,74,TRUE,2019-10-22,
GJ-1020,울산국가산업단지,섬유기업20,Kappa Bio 20,섬유,울산,523,87,TRUE,2020-01-27,
GJ-1021,구미국가산업단지,기계기업21,Alpha Tech 21,기계,구미,440,100,TRUE,2020-05-03,
GJ-1022,창원국가산업단지,전자기업22,Beta Works 22,전자,창원,25000,113,TRUE,2020-08-08,
GJ-1023,반월국가산업단지,화학기업23,Gamma Industry 23,화학,반월,564,126,TRUE,2020-11-13,
GJ-1024,시화국가산업단지,식품기업24,Delta Foods 24,식품,시화,821,139,FALSE,2021-02-18,
GJ-1025,울산국가산업단지,섬유기업25,Epsilon Chem 25,섬유,울산,368,152,TRUE,2021-05-26,
GJ-1026,구미국가산업단지,기계기업26,Zeta Motors 26,기계,구미,1175,165,TRUE,2021-08-31,
GJ-1027,창원국가산업단지,전자기업27,Eta Textile 27,전자,창원,662,178,TRUE,2021-12-06,
GJ-1028,반월국가산업단지,화학기업28,Theta Electric 28,화학,반월,1039,191,TRUE,2022-03-13,
GJ-1029,시화국가산업단지,식품기업29,Iota Machine 29,식품,시화,966,24,TRUE,2022-06-18,
GJ-1030,울산국가산업단지,섬유기업30,Kappa Bio 30,섬유,울산,593,37,FALSE,2022-09-23,
GJ-1029,시화국가산업단지,식품기업29,Iota Machine 29,식품,시화,966,24,TRUE,2022-06-18,
